2017NAICS;PART_NAICS;ISIC4;PART_ISIC4;ISIC4_TITLE;NOTES
0;1;9810;0;Undifferentiated goods-producing activities of private households for own use;one to many links for ISIC 9810 to all of NAICS based on the goods
0;1;9820;0;Undifferentiated service-producing activities of private households for own use;one to many links for ISIC 9820 to all of NAICS based on the services
111110;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111120;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111130;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111140;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111150;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111160;1;112;0;Growing of rice; 
111191;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111199;1;111;1;Growing of cereals (except rice), leguminous crops and oil seeds; 
111211;1;113;1;Growing of vegetables and melons, roots and tubers; 
111219;1;113;1;Growing of vegetables and melons, roots and tubers;except kale, mangold wurzel, and pepper farming
111219;1;119;1;Growing of other non-perennial crops;kale, mangold wurzel, etc. farming
111219;1;128;1;Growing of spices, aromatic, drug and pharmaceutical crops;pepper farming (e.g., bell, chili, red, green)
111310;1;123;1;Growing of citrus fruits; 
111320;1;123;1;Growing of citrus fruits; 
111331;1;124;1;Growing of pome fruits and stone fruits; 
111332;1;121;0;Growing of grapes; 
111333;1;125;1;Growing of other tree and bush fruits and nuts; 
111334;1;125;1;Growing of other tree and bush fruits and nuts; 
111335;1;125;1;Growing of other tree and bush fruits and nuts;except nuts used chiefly for oil extraction
111335;1;126;1;Growing of oleaginous fruits;nuts used chiefly for oil extraction including tung nuts
111336;1;12;1;Growing of perennial crops;ISIC group level link - combination fruit and tree nut farming
111339;1;122;1;Growing of tropical and subtropical fruits;banana and other tropical or subtropical fruit farming
111339;1;124;1;Growing of pome fruits and stone fruits;growing of apricots, peaches, cherries and other stone or pome fruits
111339;1;125;1;Growing of other tree and bush fruits and nuts;other noncitrus fruit seed growing
111339;1;126;1;Growing of oleaginous fruits;growing of olives and coconuts and other oleaginous fruits
111339;1;127;1;Growing of beverage crops;growing coffee 
111411;1;113;1;Growing of vegetables and melons, roots and tubers; 
111419;1;113;1;Growing of vegetables and melons, roots and tubers;growing melons, vegetables, etc. under cover
111419;1;122;1;Growing of tropical and subtropical fruits;tropical and subtropical fruit grown under cover
111419;1;128;1;Growing of spices, aromatic, drug and pharmaceutical crops;herbs and ginseng grown under cover
111419;1;322;1;Freshwater aquaculture;seaweed grown under cover
111421;1;129;1;Growing of other perennial crops;short rotation tree farming (such as Christmas trees)
111421;1;130;0;Plant propagation;except short rotation tree farming (such as Christmas tree farms)
111422;1;119;1;Growing of other non-perennial crops; 
111910;1;115;0;Growing of tobacco; 
111920;1;116;1;Growing of fibre crops; 
111930;1;114;0;Growing of sugar cane; 
111940;1;119;1;Growing of other non-perennial crops; 
