GEO_ID;GEO_ID_F;NAME;NAICS2017;ciiu4;grupo;NAICS2017_F;NAICS2017_LABEL;YEAR;RCPTOT;RCPTOT_S;PAYANN;PAYANN_S;EMP;EMP_S;EMPQ1PW;EMPQ1PW_S;HOURS;HOURS_S;PAYANPW;PAYANPW_S;CSTMTOT;CSTMTOT_S;CSTMPRT;CSTMPRT_S;CSTRSL;CSTRSL_S;CSTFU;CSTFU_S;CSTELEC;CSTELEC_S;CSTCNT;CSTCNT_S;ELECPCH;ELECPCH_S;ELECGEN;ELECGEN_S;ELECSLD;ELECSLD_S;VALADD;VALADD_S;INVTOTB;INVTOTB_S;INVFINB;INVFINB_S;INVWIPB;INVWIPB_S;INVMATB;INVMATB_S;INVTOTE;INVTOTE_S;INVFINE;INVFINE_S;INVWIPE;INVWIPE_S;INVMATE;INVMATE_S;RPTOT;RPTOT_S;RPBLD;RPBLD_S;RPMCH;RPMCH_S;PCHTT;PCHTT_S;PCHTEMP;PCHTEMP_S;PCHCMPQ;PCHCMPQ_S;PCHEXSO;PCHEXSO_S;PCHDAPR;PCHDAPR_S;PCHCSVC;PCHCSVC_S;PCHRPR;PCHRPR_S;PCHRFUS;PCHRFUS_S;PCHADVT;PCHADVT_S;PCHPRTE;PCHPRTE_S;PCHTAX;PCHTAX_S;PCHOEXP;PCHOEXP_S
0100000US;null;United States;311111;1080;10;null;Dog and cat food manufacturing;2018;22871483;0.8;1476826;1.0;23995;1.0;19427;1.2;43771;1.5;1003050;1.3;13430418;1.1;12620761;1.1;414899;1.2;74794;1.0;126519;1.0;193445;1.1;1526491;2.0;0;X;0;X;9406924;0.5;1266643;0.4;699986;0.9;37434;4.1;529223;1.1;1239152;1.9;648912;2.2;54368;5.2;535873;1.9;80950;3.3;43941;1.6;37009;7.8;1038745;4.2;100447;4.9;6553;8.1;3845;3.6;4191;15.1;10451;3.6;176713;3.9;40885;7.3;70354;1.6;63107;4.3;55961;3.2;506237;6.2
0100000US;null;United States;311119;1080;10;null;Other animal food manufacturing;2018;33321023;0.6;1508616;0.6;27696;0.9;18421;2.7;34414;5.1;913719;2.5;25389210;0.5;23858810;0.5;1068264;1.3;118344;4.5;273425;6.5;70367;13.4;3663345;7.3;D;D;0;X;7822983;1.8;2384677;0.7;1118443;0.8;171090;2.4;1095145;1.2;2432701;0.7;991913;1.3;188789;8.8;1251999;1.6;120762;2.0;64175;1.4;56586;4.0;1376950;3.0;138399;12.7;14499;3.2;6847;3.0;5557;3.7;21838;2.2;252758;3.7;43507;4.4;40637;5.1;62142;5.2;74515;6.8;716252;3.6
0100000US;null;United States;311211;1030;10;null;Flour milling;2018;11910466;0.1;738273;1.6;12701;2.1;9849;1.3;20300;0.9;485998;0.5;7982844;0.2;7561454;0.2;191778;0.3;32735;1.6;165145;0.4;31731;6.5;2032429;0.9;D;D;D;D;3907843;0.1;949429;0.6;302376;0.7;31427;2.1;615626;0.9;976260;1.2;286691;0.9;27333;4.7;662236;1.5;58792;1.1;24793;2.9;33999;0.6;476024;2.1;26822;5.9;2829;3.9;2173;5.9;2580;1.4;4619;3.0;90300;1.8;13963;2.6;14530;0.7;25988;3.6;31663;1.3;260557;2.6
0100000US;null;United States;311212;1061;10;null;Rice milling;2018;3731579;1.5;281964;4.0;5939;5.1;4320;5.4;8347;2.0;168033;3.0;2243384;1.6;2095665;1.7;86501;0.1;14228;1.6;45496;2.8;1494;1.7;666633;1.4;D;D;0;X;1482741;3.3;435505;2.3;167338;2.0;43187;1.3;224980;3.7;404901;1.4;159727;2.8;45344;1.6;199830;2.7;18941;6.7;13006;9.1;5935;2.8;242151;11.7;16879;9.9;7075(s);61.3;1024;3.6;971;3.2;2528;19.7;43894;6.9;5396;6.8;23260;1.1;7025;9.6;11106;5.9;122994;15.1
0100000US;null;United States;311213;1103;11;null;Malt manufacturing;2018;1241297;0.1;76204;4.9;1190;4.0;771;0.0;1461;0.2;39356;0.6;785417;0.1;734504;0.1;D;D;20457;0.1;20236;0.1;D;D;270886;0.1;D;D;0;X;463884;0.2;289286;0.1;153174;0.1;13683;0.0;122429;0.0;286863;0.1;162289;0.1;12573;0.0;112001;0.0;6853;0.3;4600;0.9;2254;0.8;70091;1.6;4280;2.1;446;16.9;169;0.0;140;0.0;377;9.8;8335;0.6;9754;0.4;414;0.2;3841;0.0;5885;0.4;36450;2.3
0100000US;null;United States;311221;1040;10;null;Wet corn milling;2018;10305382;0.1;517244;0.2;6304;0.7;4060;0.7;9412;0.7;300073;0.7;6300724;0.1;5630777;0.1;59718;0.0;261957;0.1;282627;0.1;65644;0.0;4537549;0.1;D;D;D;D;4012355;0.2;614727;0.3;320816;0.2;44486;0.5;249425;0.5;607875;0.7;320832;1.3;52167;0.1;234877;0.3;60871;1.8;26497;4.1;34374;0.2;616989;1.3;20307;3.9;5429;3.0;754;11.1;7794;0.0;3145;5.5;163000;0.8;112281;0.4;4262;9.3;47431;2.0;28869;3.9;223717;1.5
0100000US;null;United States;311224;1040;10;null;Soybean and other oilseed processing;2018;38598679;0.3;535706;5.1;9131;6.2;7004;7.6;13299;7.2;337605;7.2;33949202;0.3;29696737;0.3;3702681;0.2;249356;0.5;208773;0.9;91656;0.4;3382846;0.7;D;D;D;D;4558383;1.1;2037670;0.8;1214901;1.5;146776;5.4;675994;0.3;1967819;1.5;1146192;1.0;124390;20.7;697237;0.5;53300;0.4;15490;0.1;37810;0.5;678561;3.6;16798;3.7;6230;0.1;843;0.0;1899;1.5;5162;3.9;237350;5.8;58564;0.5;1734;0.0;21969;5.4;35656;2.5;292356;3.2
0100000US;null;United States;311225;1040;10;null;Fats and oils refining and blending;2018;9115341;0.1;363046;0.3;6278;0.6;5057;0.7;9912;0.4;221671;0.6;6921195;0.1;6700446;0.1;132001;0.0;29203;0.1;37890;0.2;21655;0.1;485598;0.2;18575;0.0;0;X;2166732;0.3;790142;0.1;286736;0.1;128385;0.1;375021;0.1;619596;0.4;289859;0.2;97847;1.2;231890;0.7;36829;1.2;16717;0.0;20112;2.1;418725;3.9;18602;5.3;12940;5.9;598;2.0;1657;1.7;2762;1.7;51073;1.3;29591;0.7;5416;2.2;20114;3.3;11273;1.1;264699;5.2
0100000US;null;United States;311230;1061;10;null;Breakfast cereal manufacturing;2018;10414315;0.1;876079;0.4;13008;0.2;11199;0.3;23110;0.1;669554;0.1;5764425;0.1;5582676;0.1;D;D;60496;0.6;88708;0.5;D;D;1339494;0.2;D;D;D;D;4650731;0.3;294213;1.5;78478;2.3;21111;1.9;194624;1.4;309853;0.4;77970;0.7;22460;0.5;209422;0.3;12513;0.2;6095;0.3;6418;0.1;265452;2.6;29897;9.2;1395;3.7;1593;3.1;1418;0.0;1615;6.5;58987;6.5;23153;2.0;9449;2.4;15923;1.4;22071;2.0;99950;0.7
0100000US;null;United States;311313;1072;10;null;Beet sugar manufacturing;2018;4238246;0.3;337368;0.1;6590;0.1;5731;0.1;12167;0.1;256388;0.2;2669608;0.1;2272763;0.1;D;D;240545;0.1;D;D;D;D;1083076;0.2;D;D;D;D;1380350;0.3;1138040;0.2;605701;0.4;158706;0.0;373633;0.0;903021;0.4;436600;0.8;139519;0.0;326902;0.0;24018;0.1;6055;0.0;17963;0.1;418507;0.5;D;D;690;1.4;418;0.0;228;0.0;993;0.8;56604;0.1;36739;0.1;D;D;99925;0.0;11129;2.7;36384;4.2
0100000US;null;United States;311314;1072;10;null;Cane sugar manufacturing;2018;6726175;0.0;449822;0.0;7356;0.0;5819;0.0;13026;0.0;317265;0.0;4785976;0.0;4503355;0.0;D;D;117596;0.0;D;D;D;D;771175;0.0;D;D;0;X;2024412;0.0;1045747;0.0;712391;0.0;77025;0.0;256331;0.0;1177875;0.0;778224;0.0;95405;0.0;304246;0.0;145626;0.0;81423;0.0;64203;0.0;606385;0.0;D;D;2704;0.0;1352;0.0;2000;0.0;3370;0.0;104271;0.0;17774;0.0;D;D;41683;0.0;57434;0.0;341809;0.0
0100000US;null;United States;311340;1073;10;null;Nonchocolate confectionery manufacturing;2018;10114761;0.1;1169216;0.2;23633;0.4;18760;0.5;30580;0.8;728424;0.4;4965663;0.2;4628914;0.2;94051;2.3;38718;0.5;99750;0.4;104230;0.3;1375336;0.7;0;X;0;X;5131438;0.2;901175;0.4;465081;0.6;96088;0.5;340006;0.3;897783;0.3;455430;0.4;88079;0.2;354274;0.4;112563;1.6;79459;1.4;33104;2.6;824659;1.8;121516;6.4;7414;1.1;3743;2.7;2501;5.8;7139;1.3;80414;2.2;24538;3.1;96328;1.5;35726;4.2;21751;1.6;423587;1.9
